text,speaker,episode,season,preface,scene,scene_id,action,action_id,character,count
"Stop that pathetic groveling!
If it was the least bit effective, your family wouldn’t
be dead!
Can a weakling who can’t take the initiative in such a situation heal his sister?!
Hunt down the enemy?!
Don’t make me laugh!
The weak have no rights or choices!
Their only fate is to be relentlessly crushed
by the strong! The demons might know how to cure your sister!
But don’t
think that a demon would respect your will or wishes!
Naturally, I have no respect for you, either!
That’s reality!
Why did you throw yourself over your sister
earlier? Was that your way of protecting her?
Why didn’t
you swing your hatchet? Why did you show your back to me?
All those blunders led to your sister’s capture!
I could have skewered
her along with you!
Don’t cry. Don’t
despair. Now’s not the time for that. (Thoughts) I know you’re
devastated.
Your family was massacred, and your sister’s
become a demon. (Thoughts) I know it’s painful. I
know you want to scream. I get it.
If only I’d gotten here a half-day
sooner, your family
might not have ended up dead.
But there’s no way to turn back time.
Feel the rage.
The powerful, pure rage of not being able to forgive will become your answering drive to take
action!
With such a fragile resolve
like yours, you can’t protect
your sister or heal her, or get revenge for your family!",Tomioka,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Man 2,8
No!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Kaigaku,8
Arghhh! Ahhh!!,Nezuko,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Trio,8
Stop!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Boys,8
Arghhhh!!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Slayer 2,8
"A straightforward attack
driven solely by emotion…
You fool!",Tomioka,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Children,7
"Hmm? Where’s his hatchet?
head.]",Tomioka,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Nichika,7
"Just before he hid behind the tree, he
hurled that rock toward me and,
at the same time, tossed the hatchet
in the air.
He hid his hands as he pretended
to attack so I wouldn’t
realize he was unarmed.
He knew he couldn’t beat
me.
He tried to bring me down after I struck him! (Thoughts) This kid…",Tomioka,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Tatsu,7
Uaar!!,Nezuko,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Rokuta,7
Damn! She’ll devour him!,Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,"Prostitute 2     But she sure is ugly. I’m surprised that she got taken in
here. Prostitute 3",7
"Nezuko…
It wasn’t Nezuko!
She’d never eat humans!",Tanjirou,1,1,Flashback," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Farmer,6
Graahh!,Nezuko,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Boy 2,6
